neurons,layers,activation_function,optimizer,dropout,batch_size,epochs,input_window_len,output_window_len,keep_order,elapsed_time,loss,val_loss,mae,val_mae
576,7,tanh,rmsprop,0.49,68,20,48,4,False,34.49,0.7629691811617959,0.6336380022845857,0.769398233279806,0.7264936215256992
193,18,tanh,sgd,0.09,73,33,13,2,False,8.14,0.03330641131401723,0.05238554696862896,0.1299574227110874,0.15518573691447576
720,8,relu,adam,0.78,145,26,13,5,True,18.47,0.03755208992210406,0.15512625873088837,0.1309197201612807,0.34462130069732666
141,2,relu,rmsprop,0.11,53,15,22,7,True,0.97,0.08318219952489356,0.12159321793332332,0.1860266149017986,0.3020556698727414
630,9,tanh,adam,0.69,53,25,35,10,True,58.87,0.1519420039693506,1.0961894075447154,0.27738945553456984,0.9841658901945453
54,15,tanh,rmsprop,0.98,113,39,46,8,True,8.62,0.5437346017791397,0.10559764504432678,0.5691785603970081,0.2903073728084564
211,9,tanh,rmsprop,0.08,36,12,17,3,False,3.23,0.06453753316142996,0.0766114979982376,0.18560679560261115,0.189436154961586
329,16,tanh,rmsprop,0.59,34,27,33,3,True,34.99,0.13668780424984905,1.3267605469144623,0.2630622159333635,1.1286061365028908
177,12,relu,adam,0.06,159,36,23,7,True,5.04,0.10030857939598756,0.11882700771093369,0.20962544666095215,0.30246075987815857
658,8,relu,sgd,0.06,193,28,46,5,True,47.48,0.2624976565987566,0.10956922173500061,0.34836198728192935,0.2935207486152649
164,3,relu,rmsprop,0.95,189,16,39,2,False,1.63,450.0370965750021,0.21631886065006256,1.6861194457637003,0.3268296718597412
406,8,tanh,adam,0.82,68,14,15,8,False,5.72,0.06542036413207312,0.09944556613763174,0.1858309626650497,0.21206805845101676
330,14,tanh,adam,0.8,44,16,39,7,False,19.65,0.1659622810562403,0.18953743449425045,0.2965619791034964,0.29579046491074235
735,13,tanh,rmsprop,0.16,61,11,35,8,False,45.05,0.558050132124037,0.6654904754194495,0.623710077478302,0.7470087984653369
143,14,relu,rmsprop,0.68,180,16,33,10,True,4.01,0.20157013372420432,0.12462876737117767,0.30390209240930066,0.3016033470630646
27,14,tanh,sgd,0.05,150,22,49,6,True,3.59,0.27902520656377283,0.15013009309768677,0.3587259540816287,0.3555871248245239
544,11,tanh,adam,0.28,104,28,13,7,True,20.29,0.050165704705498436,0.22902095622637056,0.15813954309983688,0.42850587178360333
353,5,relu,adam,0.97,114,17,16,8,False,3.29,1.3221243853596123,0.14179941684007644,0.34753422100435605,0.23833414375782014
684,3,relu,rmsprop,0.04,18,12,49,10,False,24.70,nan,nan,nan,nan
378,19,relu,rmsprop,0.95,166,20,38,6,True,31.04,nan,nan,nan,nan
347,15,tanh,adam,0.28,181,18,15,6,False,8.68,0.08713897934163498,0.09556034207344055,0.19887167415154278,0.2461947649717331
597,10,tanh,sgd,0.96,25,30,34,4,True,79.52,0.42278555561820946,0.22784680190185705,0.5280480947180506,0.42800779196253996
653,12,relu,sgd,0.14,175,15,10,10,True,10.47,0.05902445087825884,0.05347851663827896,0.16336692355590546,0.20841655135154724
187,12,tanh,adam,0.29,132,27,22,6,False,6.37,0.08016295996394089,0.12321437311333579,0.19961395773956245,0.2449803561777682
536,13,tanh,sgd,0.58,123,12,32,10,True,32.55,0.13079084480064107,0.6003756523132324,0.2538797723819743,0.7468956708908081
